student_id,first_name,last_name,gender,birth_date,region_of_origin,campus,degree_level,programme,department,faculty,admission_year,graduation_year,status,cgpa,degree_class,credits_completed,residential_status,funding_type,scholarship_name,last_update
10010,Jerry,Brown,Male,1998-04-15,Washington,North Campus,PhD,"Engineer, electronics",Business,Arts,1990,1995,Dropped,3.3,Second Class Upper,16,Off-Campus,Private-sponsored,,2025-11-10 20:59:14.816430
10011,Nathan,Patterson,Male,1993-01-17,New Hampshire,City Campus,MA,Architect,Arts,Engineering,1990,1992,Ongoing,3.37,First Class,101,On-Campus,Self-funded,,2025-11-10 20:59:14.816430
10012,Daniel,Butler,Male,1997-05-18,California,City Campus,PhD,Animal nutritionist,Law,Arts,1990,1995,Dropped,3.76,Second Class Lower,96,Off-Campus,Self-funded,Merit Scholarship,2025-11-10 20:59:14.816430
10013,Katherine,Cox,Female,1990-12-20,Colorado,Main Campus,MSc,Photographer,Law,Engineering,1990,1992,Graduated,3.37,Pass,117,Off-Campus,Government-funded,,2025-11-10 20:59:14.816430
10014,Emily,Ortiz,Female,1992-08-12,Hawaii,North Campus,MA,Colour technologist,Computer Science,Engineering,1990,1992,Ongoing,3.14,First Class,34,Off-Campus,Government-funded,Excellence Scholarship,2025-11-10 20:59:14.816430
10015,Veronica,Banks,Female,1992-02-29,Maryland,City Campus,MA,"Psychologist, prison and probation services",Business,Business,1990,1992,Graduated,3.99,Second Class Upper,92,On-Campus,Self-funded,,2025-11-10 20:59:14.816430
10016,Tyler,Armstrong,Female,1998-01-15,Nevada,North Campus,BSc,Geoscientist,Arts,Science,1990,1994,Graduated,2.43,First Class,69,Off-Campus,Self-funded,Excellence Scholarship,2025-11-10 20:59:14.816430
10017,Tracey,Adams,Male,1994-12-05,Kentucky,City Campus,BA,"Designer, graphic",Computer Science,Law,1990,1994,Dropped,2.16,Pass,136,On-Campus,Private-sponsored,,2025-11-10 20:59:14.816430
10018,Donald,Davis,Male,1991-05-18,Delaware,North Campus,BSc,"Clinical scientist, histocompatibility and immunogenetics",Law,Business,1990,1994,Ongoing,3.91,First Class,54,On-Campus,Self-funded,,2025-11-10 20:59:14.816430
10019,Erica,Perez,Male,1996-01-13,Nebraska,City Campus,BA,Medical illustrator,Engineering,Science,1990,1994,Dropped,2.28,Pass,23,On-Campus,Government-funded,Merit Scholarship,2025-11-10 20:59:14.816430
10020,Matthew,Harrison,Female,1990-11-04,Alaska,North Campus,BSc,Patent examiner,Engineering,Business,1990,1994,Ongoing,3.94,First Class,26,Off-Campus,Government-funded,Merit Scholarship,2025-11-10 20:59:14.816430
10021,Kim,Allen,Male,1990-08-22,Pennsylvania,City Campus,PhD,Commercial horticulturist,Business,Engineering,1990,1995,Ongoing,2.8,First Class,67,Off-Campus,Government-funded,Excellence Scholarship,2025-11-10 20:59:14.816430
10022,Michael,Johns,Male,2003-10-06,Arkansas,North Campus,MSc,Advertising art director,Business,Law,1990,1992,Ongoing,3.93,First Class,173,Off-Campus,Self-funded,Excellence Scholarship,2025-11-10 20:59:14.816430
10023,Virginia,Jones,Male,1996-08-25,Oklahoma,City Campus,BA,Clinical biochemist,Engineering,Engineering,1990,1994,Dropped,3.41,Pass,99,On-Campus,Private-sponsored,,2025-11-10 20:59:14.816430
10024,Matthew,Evans,Male,1997-05-11,Nebraska,North Campus,BSc,"Nurse, children's",Law,Engineering,1990,1994,Ongoing,3.65,Second Class Lower,5,On-Campus,Government-funded,Excellence Scholarship,2025-11-10 20:59:14.816430
10025,Rodney,Lee,Male,1991-11-19,Louisiana,City Campus,BSc,Chief Operating Officer,Arts,Law,1990,1994,Graduated,2.68,Second Class Upper,142,Off-Campus,Self-funded,,2025-11-10 20:59:14.816430
10026,Abigail,Murray,Female,2007-12-24,North Carolina,City Campus,BSc,Environmental manager,Business,Science,1990,1994,Graduated,3.33,Pass,152,On-Campus,Government-funded,Excellence Scholarship,2025-11-10 20:59:14.816430
10027,Diana,Hale,Female,1994-03-26,Louisiana,City Campus,MA,"Engineer, aeronautical",Business,Engineering,1990,1992,Dropped,2.95,Second Class Upper,134,Off-Campus,Private-sponsored,Merit Scholarship,2025-11-10 20:59:14.816430
10028,William,Lloyd,Female,1992-07-06,New Hampshire,Main Campus,BSc,Contractor,Engineering,Science,1990,1994,Dropped,2.28,Second Class Lower,3,On-Campus,Government-funded,,2025-11-10 20:59:14.816430
10029,Lisa,Jimenez,Female,2003-07-12,Vermont,Main Campus,MSc,Accommodation manager,Arts,Law,1990,1992,Ongoing,3.05,Second Class Lower,17,Off-Campus,Government-funded,Excellence Scholarship,2025-11-10 20:59:14.816430
10030,Jessica,Ayers,Female,1997-04-19,Nevada,City Campus,PhD,Nutritional therapist,Law,Arts,1990,1995,Graduated,3.25,Second Class Upper,26,On-Campus,Private-sponsored,Merit Scholarship,2025-11-10 20:59:14.816430
10031,Ashley,Nelson,Male,2001-12-22,New Hampshire,Main Campus,PhD,"Development worker, community",Computer Science,Law,1990,1995,Ongoing,2.54,Second Class Upper,73,On-Campus,Government-funded,Excellence Scholarship,2025-11-10 20:59:14.816430
10032,Sherri,Thomas,Male,2007-03-30,California,North Campus,BA,Visual merchandiser,Law,Engineering,1990,1994,Ongoing,2.52,Second Class Lower,72,Off-Campus,Government-funded,Excellence Scholarship,2025-11-10 20:59:14.816430
10033,Kelli,Johnson,Female,2004-01-18,Nebraska,North Campus,BA,Tax inspector,Business,Law,1990,1994,Dropped,3.25,First Class,73,Off-Campus,Self-funded,Merit Scholarship,2025-11-10 20:59:14.816430
10034,Alicia,Mcdonald,Female,1999-10-26,Wisconsin,Main Campus,MSc,Mechanical engineer,Computer Science,Law,1990,1992,Ongoing,3.46,Second Class Lower,173,Off-Campus,Private-sponsored,Merit Scholarship,2025-11-10 20:59:14.816430
10035,Michael,Ramirez,Male,2006-05-25,Indiana,City Campus,MA,Insurance claims handler,Computer Science,Business,1990,1992,Dropped,3.23,Second Class Lower,11,Off-Campus,Self-funded,Excellence Scholarship,2025-11-10 20:59:14.816430
10036,Stephanie,Wilson,Male,2002-02-07,Connecticut,North Campus,MSc,Waste management officer,Business,Engineering,1990,1992,Graduated,3.04,Second Class Lower,39,On-Campus,Government-funded,Merit Scholarship,2025-11-10 20:59:14.816430
10037,Alexander,Martinez,Male,2002-03-14,Oregon,Main Campus,MSc,Jewellery designer,Arts,Science,1990,1992,Graduated,3.56,Pass,63,On-Campus,Private-sponsored,,2025-11-10 20:59:14.816430
10038,Caroline,Contreras,Female,1997-12-19,Alaska,North Campus,BSc,"Restaurant manager, fast food",Business,Engineering,1990,1994,Graduated,3.66,Pass,62,On-Campus,Government-funded,Merit Scholarship,2025-11-10 20:59:14.816430
10039,Michelle,Williams,Female,1994-11-30,Kentucky,Main Campus,BA,Insurance claims handler,Computer Science,Law,1990,1994,Dropped,2.45,First Class,80,On-Campus,Government-funded,Excellence Scholarship,2025-11-10 20:59:14.816430
10040,Scott,Williams,Female,2005-01-10,Kansas,City Campus,PhD,"Lecturer, further education",Arts,Science,1990,1995,Ongoing,3.04,Second Class Lower,2,Off-Campus,Self-funded,,2025-11-10 20:59:14.816430
10041,Lindsay,Ford,Female,1993-01-19,Montana,Main Campus,MA,Musician,Engineering,Engineering,1990,1992,Dropped,2.49,First Class,65,Off-Campus,Private-sponsored,,2025-11-10 20:59:14.816430
10042,Tyrone,Lindsey,Female,1999-06-01,Louisiana,Main Campus,MSc,Health promotion specialist,Engineering,Business,1990,1992,Graduated,2.5,Pass,53,On-Campus,Private-sponsored,Excellence Scholarship,2025-11-10 20:59:14.816430
10043,Joshua,Smith,Male,1996-08-12,New Mexico,City Campus,MSc,Intelligence analyst,Business,Science,1990,1992,Graduated,3.64,First Class,113,Off-Campus,Private-sponsored,Merit Scholarship,2025-11-10 20:59:14.816430
10044,Jason,Moreno,Male,2005-02-17,Washington,City Campus,BSc,Production manager,Business,Law,1990,1994,Ongoing,2.27,Second Class Lower,80,On-Campus,Private-sponsored,Excellence Scholarship,2025-11-10 20:59:14.816430
10045,Tina,Riley,Female,1990-11-23,California,Main Campus,MA,Furniture designer,Business,Engineering,1990,1992,Ongoing,2.13,Second Class Lower,3,Off-Campus,Self-funded,,2025-11-10 20:59:14.816430
10046,Mark,Jenkins,Male,2005-12-04,Indiana,North Campus,PhD,Printmaker,Business,Law,1990,1995,Graduated,3.29,Second Class Upper,168,Off-Campus,Self-funded,Merit Scholarship,2025-11-10 20:59:14.816430
10047,Russell,Brown,Female,2006-02-07,Indiana,City Campus,BSc,Local government officer,Computer Science,Law,1990,1994,Ongoing,3.85,Pass,167,Off-Campus,Self-funded,Excellence Scholarship,2025-11-10 20:59:14.816430
10048,Shawn,Nunez,Male,1990-05-18,Mississippi,City Campus,BA,"Scientist, research (medical)",Law,Law,1990,1994,Dropped,2.16,Second Class Lower,28,Off-Campus,Self-funded,Excellence Scholarship,2025-11-10 20:59:14.816430
10049,Nicole,Sheppard,Female,2006-10-27,Alabama,North Campus,PhD,"Geologist, wellsite",Engineering,Business,1990,1995,Dropped,2.18,Pass,43,On-Campus,Private-sponsored,,2025-11-10 20:59:14.831902
10050,Ann,Conner,Female,2008-01-10,Colorado,North Campus,BSc,"Engineer, petroleum",Law,Engineering,1990,1994,Ongoing,3.62,Second Class Upper,21,Off-Campus,Private-sponsored,Merit Scholarship,2025-11-10 20:59:14.831902
10051,Louis,Hill,Female,2004-07-18,Washington,Main Campus,MSc,Primary school teacher,Arts,Law,1990,1992,Ongoing,3.39,First Class,135,On-Campus,Government-funded,,2025-11-10 20:59:14.831902
10052,Megan,Ritter,Female,2007-07-11,Texas,North Campus,BA,"Scientist, water quality",Engineering,Science,1990,1994,Ongoing,2.52,Second Class Upper,14,On-Campus,Government-funded,Merit Scholarship,2025-11-10 20:59:14.831902
10053,Eric,Bailey,Female,1993-04-19,Alabama,City Campus,MSc,"Designer, interior/spatial",Law,Business,1990,1992,Ongoing,3.98,First Class,37,On-Campus,Private-sponsored,Merit Scholarship,2025-11-10 20:59:14.831902
10054,Dana,Walsh,Female,1992-12-20,Utah,North Campus,BA,"Buyer, retail",Engineering,Arts,1990,1994,Ongoing,3.64,Second Class Lower,105,On-Campus,Self-funded,Merit Scholarship,2025-11-10 20:59:14.831902
10055,Maurice,Mccoy,Male,1990-12-30,North Dakota,City Campus,MA,Horticultural consultant,Law,Engineering,1990,1992,Graduated,2.44,Pass,77,On-Campus,Self-funded,Excellence Scholarship,2025-11-10 20:59:14.831902
10056,Sean,Silva,Male,2004-11-20,Illinois,Main Campus,MSc,Medical illustrator,Computer Science,Science,1990,1992,Graduated,3.42,Pass,91,Off-Campus,Government-funded,Merit Scholarship,2025-11-10 20:59:14.831902
10057,Laura,Wilson,Female,2004-07-14,Alabama,City Campus,PhD,"Engineer, land",Arts,Law,1990,1995,Graduated,3.21,Second Class Upper,121,On-Campus,Private-sponsored,Excellence Scholarship,2025-11-10 20:59:14.831902
10058,Kristen,Gray,Female,2006-09-06,Wyoming,City Campus,MSc,Stage manager,Arts,Business,1990,1992,Ongoing,3.15,Second Class Lower,115,On-Campus,Self-funded,Merit Scholarship,2025-11-10 20:59:14.831902
10059,Teresa,Woodard,Female,2000-09-12,Arizona,Main Campus,PhD,Paediatric nurse,Law,Business,1990,1995,Ongoing,3.88,Second Class Upper,45,On-Campus,Self-funded,Merit Scholarship,2025-11-10 20:59:14.831902
10060,Michael,Doyle,Male,2008-07-03,Arizona,Main Campus,BSc,Mental health nurse,Computer Science,Business,1990,1994,Graduated,3.27,First Class,141,On-Campus,Government-funded,Excellence Scholarship,2025-11-10 20:59:14.831902
10061,Lisa,Guzman,Female,2004-03-26,Florida,North Campus,PhD,"Biochemist, clinical",Engineering,Business,1990,1995,Dropped,2.68,Pass,112,Off-Campus,Government-funded,,2025-11-10 20:59:14.831902
10062,David,Richards,Female,1998-03-26,Alaska,Main Campus,BA,Special effects artist,Arts,Law,1990,1994,Graduated,3.42,Second Class Lower,139,On-Campus,Government-funded,Excellence Scholarship,2025-11-10 20:59:14.831902
10063,Joe,Christensen,Female,1999-09-02,Virginia,North Campus,BSc,Freight forwarder,Computer Science,Engineering,1990,1994,Graduated,3.98,Second Class Lower,103,Off-Campus,Private-sponsored,,2025-11-10 20:59:14.831902
10064,Christine,Miller,Male,1996-08-21,New Hampshire,City Campus,MA,Social worker,Business,Arts,1990,1992,Dropped,2.64,Pass,101,Off-Campus,Private-sponsored,Excellence Scholarship,2025-11-10 20:59:14.831902
10065,Thomas,Deleon,Female,2002-05-18,New Mexico,City Campus,MSc,Energy manager,Law,Engineering,1990,1992,Graduated,2.12,Pass,36,On-Campus,Self-funded,,2025-11-10 20:59:14.831902
10066,Haley,Valenzuela,Male,1997-03-19,Hawaii,North Campus,MA,"Development worker, international aid",Business,Business,1990,1992,Graduated,2.48,Pass,58,On-Campus,Private-sponsored,,2025-11-10 20:59:14.831902
10067,Christine,Valentine,Female,1996-05-23,Rhode Island,City Campus,MSc,"Surveyor, hydrographic",Computer Science,Business,1990,1992,Dropped,3.51,Second Class Upper,32,On-Campus,Private-sponsored,Excellence Scholarship,2025-11-10 20:59:14.831902
10068,Martha,Bennett,Male,1990-02-26,North Dakota,Main Campus,BA,Art gallery manager,Arts,Law,1990,1994,Dropped,2.72,Pass,179,Off-Campus,Private-sponsored,,2025-11-10 20:59:14.831902
10069,James,Richards,Female,1992-08-13,South Carolina,North Campus,BA,"Programmer, systems",Arts,Engineering,1990,1994,Dropped,2.59,Second Class Upper,102,Off-Campus,Self-funded,,2025-11-10 20:59:14.831902
10070,Teresa,Paul,Male,1993-03-06,South Dakota,North Campus,MA,Ceramics designer,Arts,Law,1990,1992,Ongoing,2.1,Second Class Lower,114,On-Campus,Private-sponsored,Excellence Scholarship,2025-11-10 20:59:14.831902
10071,Laura,Campbell,Male,1990-08-26,Minnesota,North Campus,BA,Publishing copy,Arts,Science,1990,1994,Graduated,2.08,Second Class Lower,118,On-Campus,Government-funded,Merit Scholarship,2025-11-10 20:59:14.831902
10072,Tammy,Jones,Male,1992-09-28,Texas,City Campus,BSc,Environmental consultant,Computer Science,Arts,1990,1994,Graduated,2.66,Second Class Upper,32,Off-Campus,Government-funded,Merit Scholarship,2025-11-10 20:59:14.831902
10073,Andrew,Wagner,Male,1996-11-12,Vermont,North Campus,MA,Lexicographer,Computer Science,Science,1990,1992,Graduated,3.53,First Class,16,Off-Campus,Government-funded,,2025-11-10 20:59:14.831902
10074,Diane,Manning,Female,1992-05-05,Hawaii,City Campus,BSc,"Administrator, sports",Arts,Engineering,1990,1994,Dropped,2.19,Second Class Lower,45,Off-Campus,Private-sponsored,Excellence Scholarship,2025-11-10 20:59:14.831902
10075,Jennifer,Hamilton,Female,2001-06-16,New Jersey,Main Campus,MSc,Civil Service fast streamer,Arts,Engineering,1990,1992,Graduated,2.12,Second Class Lower,107,Off-Campus,Government-funded,Excellence Scholarship,2025-11-10 20:59:14.831902
10076,Joshua,Turner,Male,2007-08-03,Vermont,City Campus,BA,Product/process development scientist,Business,Law,1990,1994,Graduated,3.64,Pass,129,Off-Campus,Government-funded,Excellence Scholarship,2025-11-10 20:59:14.831902
10077,Ann,Brown,Male,1992-06-05,Illinois,Main Campus,BSc,"Designer, industrial/product",Engineering,Engineering,1990,1994,Ongoing,3.94,Second Class Upper,127,On-Campus,Self-funded,,2025-11-10 20:59:14.831902
10078,Jeffery,Mcbride,Female,1996-07-21,Virginia,Main Campus,BSc,Museum education officer,Engineering,Business,1990,1994,Ongoing,2.26,Pass,120,Off-Campus,Government-funded,Merit Scholarship,2025-11-10 20:59:14.831902
10079,Stephanie,Figueroa,Female,1991-08-31,Rhode Island,Main Campus,MSc,Special educational needs teacher,Business,Law,1990,1992,Dropped,3.57,First Class,127,Off-Campus,Private-sponsored,Excellence Scholarship,2025-11-10 20:59:14.831902
10080,Karen,Lewis,Female,2007-11-04,Nebraska,City Campus,PhD,Network engineer,Law,Law,1990,1995,Dropped,3.46,Second Class Lower,107,Off-Campus,Self-funded,Excellence Scholarship,2025-11-10 20:59:14.831902
10081,Andrea,Arnold,Male,2005-10-24,Maine,Main Campus,MA,Dentist,Engineering,Business,1990,1992,Dropped,3.75,Pass,52,Off-Campus,Self-funded,,2025-11-10 20:59:14.831902
10082,Donald,Walker,Female,1998-04-10,North Carolina,North Campus,PhD,Advertising account executive,Arts,Engineering,1990,1995,Dropped,3.17,First Class,175,Off-Campus,Government-funded,Excellence Scholarship,2025-11-10 20:59:14.831902
10083,Denise,Jenkins,Female,2006-01-06,Virginia,City Campus,PhD,Legal executive,Engineering,Science,1990,1995,Dropped,3.6,Second Class Upper,47,On-Campus,Self-funded,Merit Scholarship,2025-11-10 20:59:14.831902
10084,Peter,Mathews,Female,2006-10-22,Alaska,Main Campus,PhD,Armed forces training and education officer,Computer Science,Science,1990,1995,Ongoing,2.14,Second Class Lower,101,On-Campus,Self-funded,Merit Scholarship,2025-11-10 20:59:14.831902
10085,Glen,Erickson,Male,2005-06-09,Arkansas,Main Campus,BSc,Midwife,Arts,Business,1990,1994,Dropped,3.91,Second Class Lower,151,Off-Campus,Self-funded,Excellence Scholarship,2025-11-10 20:59:14.831902
10086,Timothy,Jefferson,Female,2006-12-18,Wisconsin,Main Campus,PhD,Horticultural consultant,Business,Science,1990,1995,Graduated,3.98,Pass,138,On-Campus,Government-funded,Merit Scholarship,2025-11-10 20:59:14.831902
10087,Shelby,Evans,Female,1999-08-08,Missouri,City Campus,MA,Health service manager,Arts,Arts,1990,1992,Graduated,2.19,Second Class Lower,160,Off-Campus,Self-funded,Merit Scholarship,2025-11-10 20:59:14.831902
10088,Rodney,Jones,Male,2000-05-04,New Hampshire,North Campus,BSc,"Psychologist, counselling",Arts,Science,1990,1994,Ongoing,3.97,Pass,93,Off-Campus,Self-funded,,2025-11-10 20:59:14.831902
10089,Yolanda,Powers,Male,2000-02-28,Illinois,North Campus,MSc,Armed forces training and education officer,Engineering,Arts,1990,1992,Ongoing,2.03,Second Class Lower,109,On-Campus,Private-sponsored,,2025-11-10 20:59:14.831902
10090,Christina,Evans,Female,2007-01-31,Connecticut,North Campus,PhD,Ecologist,Business,Science,1990,1995,Ongoing,3.64,Second Class Lower,81,Off-Campus,Private-sponsored,,2025-11-10 20:59:14.831902
10091,Michael,Hall,Male,2002-02-01,Maine,Main Campus,PhD,Health and safety inspector,Business,Engineering,1990,1995,Dropped,2.63,Second Class Lower,76,On-Campus,Private-sponsored,Merit Scholarship,2025-11-10 20:59:14.831902
10092,Victoria,Wright,Male,1992-03-24,New York,North Campus,MSc,Social researcher,Arts,Science,1990,1992,Graduated,2.43,Pass,20,Off-Campus,Government-funded,,2025-11-10 20:59:14.831902
10093,William,King,Female,1993-09-25,North Dakota,North Campus,MSc,Social researcher,Computer Science,Law,1990,1992,Dropped,3.69,Pass,85,Off-Campus,Government-funded,,2025-11-10 20:59:14.831902
10094,Sandra,Doyle,Female,1992-08-18,Kentucky,Main Campus,MA,Metallurgist,Arts,Arts,1990,1992,Dropped,3.03,First Class,179,Off-Campus,Self-funded,Excellence Scholarship,2025-11-10 20:59:14.831902
10095,Angela,Martin,Female,2006-05-18,Nevada,North Campus,BSc,"Engineer, maintenance (IT)",Law,Business,1990,1994,Graduated,3.18,First Class,165,On-Campus,Self-funded,Merit Scholarship,2025-11-10 20:59:14.831902
10096,Collin,Barker,Male,2007-01-06,North Carolina,North Campus,MSc,Pharmacologist,Law,Business,1990,1992,Dropped,2.3,First Class,31,Off-Campus,Government-funded,,2025-11-10 20:59:14.831902
10097,Tammy,Barnett,Male,1993-03-19,Colorado,North Campus,MSc,"Accountant, chartered public finance",Engineering,Law,1990,1992,Graduated,3.26,Second Class Upper,83,On-Campus,Government-funded,Merit Scholarship,2025-11-10 20:59:14.831902
10098,Aaron,Bautista,Male,1996-07-31,New Jersey,North Campus,BSc,Museum/gallery exhibitions officer,Engineering,Arts,1990,1994,Ongoing,3.4,Second Class Upper,29,On-Campus,Private-sponsored,Merit Scholarship,2025-11-10 20:59:14.831902
10099,Logan,Cannon,Female,1999-12-14,Ohio,North Campus,BSc,"Psychologist, sport and exercise",Business,Business,1990,1994,Graduated,2.06,Second Class Lower,88,Off-Campus,Self-funded,Excellence Scholarship,2025-11-10 20:59:14.831902
10100,Sandra,Ray,Male,2001-04-17,Ohio,North Campus,MSc,Archivist,Business,Business,1990,1992,Graduated,3.23,Pass,141,On-Campus,Government-funded,Merit Scholarship,2025-11-10 20:59:14.831902
10101,Jessica,Galvan,Male,1993-08-16,Arkansas,City Campus,PhD,"Surveyor, insurance",Law,Arts,1990,1995,Dropped,2.36,Pass,94,On-Campus,Government-funded,Excellence Scholarship,2025-11-10 20:59:14.831902
10102,Cheryl,Thomas,Female,1991-08-28,Colorado,North Campus,BA,"Scientist, forensic",Computer Science,Engineering,1990,1994,Graduated,2.94,Second Class Upper,168,Off-Campus,Private-sponsored,Excellence Scholarship,2025-11-10 20:59:14.831902
10103,Kathryn,Delgado,Male,1992-05-18,North Dakota,Main Campus,PhD,Retail banker,Business,Law,1990,1995,Ongoing,3.18,Second Class Upper,91,On-Campus,Government-funded,Excellence Scholarship,2025-11-10 20:59:14.831902
10104,Joshua,Andersen,Male,2006-11-30,Pennsylvania,City Campus,BA,Contracting civil engineer,Engineering,Business,1990,1994,Graduated,2.12,First Class,117,On-Campus,Private-sponsored,Merit Scholarship,2025-11-10 20:59:14.831902
10105,Nathaniel,Cline,Male,2005-03-17,Pennsylvania,North Campus,MSc,Medical laboratory scientific officer,Engineering,Science,1990,1992,Ongoing,3.76,Pass,79,Off-Campus,Government-funded,,2025-11-10 20:59:14.831902
10106,Cassie,Mcgee,Female,2003-05-29,New Mexico,North Campus,BSc,Teaching laboratory technician,Engineering,Law,1990,1994,Graduated,3.95,Pass,98,Off-Campus,Self-funded,,2025-11-10 20:59:14.831902
10107,Nicole,Carr,Female,1997-08-25,Delaware,Main Campus,PhD,Hotel manager,Engineering,Science,1990,1995,Ongoing,2.82,Pass,38,Off-Campus,Private-sponsored,,2025-11-10 20:59:14.831902
10108,Darin,Scott,Male,1990-07-22,New Jersey,Main Campus,BSc,"Embryologist, clinical",Law,Business,1990,1994,Dropped,2.36,Pass,126,On-Campus,Private-sponsored,Excellence Scholarship,2025-11-10 20:59:14.831902
10109,Ricardo,Byrd,Female,1991-03-29,Indiana,Main Campus,MSc,Purchasing manager,Arts,Science,1990,1992,Graduated,2.44,Pass,88,On-Campus,Government-funded,,2025-11-10 20:59:14.831902
10110,Mike,Jones,Female,1991-03-06,Georgia,North Campus,PhD,"Designer, interior/spatial",Business,Engineering,1990,1995,Ongoing,2.23,Second Class Lower,17,On-Campus,Government-funded,Merit Scholarship,2025-11-10 20:59:14.831902
10111,Andrea,Sutton,Male,2002-06-14,New York,Main Campus,MA,"Engineer, drilling",Law,Law,1990,1992,Ongoing,3.29,Second Class Upper,166,On-Campus,Government-funded,,2025-11-10 20:59:14.831902
10112,Elizabeth,Welch,Male,2003-06-16,Arkansas,North Campus,MA,Horticultural therapist,Arts,Engineering,1990,1992,Dropped,3.07,First Class,111,On-Campus,Government-funded,Excellence Scholarship,2025-11-10 20:59:14.831902
10113,Judy,Pierce,Female,1992-01-14,Minnesota,Main Campus,MA,Chartered accountant,Computer Science,Arts,1990,1992,Dropped,2.21,Second Class Lower,86,Off-Campus,Self-funded,,2025-11-10 20:59:14.831902
10114,Danny,Benson,Female,1999-10-10,New Jersey,City Campus,MA,Science writer,Computer Science,Law,1990,1992,Graduated,3.55,First Class,116,On-Campus,Government-funded,Excellence Scholarship,2025-11-10 20:59:14.847532
10115,Lisa,Smith,Female,1990-02-09,Massachusetts,Main Campus,MSc,Chartered management accountant,Law,Law,1990,1992,Dropped,2.2,Pass,155,On-Campus,Self-funded,,2025-11-10 20:59:14.847532
10116,Justin,Dixon,Female,2005-05-23,Colorado,City Campus,BSc,Solicitor,Computer Science,Business,1990,1994,Dropped,3.14,First Class,144,On-Campus,Private-sponsored,,2025-11-10 20:59:14.847532
10117,Nicholas,Estes,Male,2004-02-03,Hawaii,Main Campus,BSc,"Teacher, music",Law,Law,1990,1994,Graduated,3.42,First Class,76,Off-Campus,Self-funded,,2025-11-10 20:59:14.847532
10118,Keith,Adams,Female,1993-05-18,North Dakota,Main Campus,BA,"Secretary, company",Computer Science,Engineering,1990,1994,Graduated,2.14,First Class,114,On-Campus,Self-funded,Merit Scholarship,2025-11-10 20:59:14.847532
10119,Joshua,Davies,Male,1997-12-28,Missouri,City Campus,MA,Analytical chemist,Business,Law,1990,1992,Dropped,2.41,Pass,109,Off-Campus,Self-funded,,2025-11-10 20:59:14.847532
10120,Patricia,Morgan,Female,2007-09-07,New York,Main Campus,BSc,Orthoptist,Law,Arts,1990,1994,Dropped,2.75,Pass,5,Off-Campus,Government-funded,Excellence Scholarship,2025-11-10 20:59:14.847532
10121,Jamie,Garner,Male,2003-12-08,Alaska,North Campus,BA,"Investment banker, corporate",Arts,Science,1990,1994,Graduated,2.54,First Class,125,On-Campus,Government-funded,Excellence Scholarship,2025-11-10 20:59:14.847532
10122,Sara,Buchanan,Female,1995-02-14,Indiana,City Campus,BSc,Geoscientist,Computer Science,Science,1990,1994,Ongoing,2.03,Second Class Upper,94,Off-Campus,Self-funded,Merit Scholarship,2025-11-10 20:59:14.847532
